unid,time,mag,flynn_region,longitude,latitude,depth
20251028_0000321,2025-10-28 10:36:49,2.9,WESTERN TURKEY,28.2472,39.1553,4.8
20251028_0000319,2025-10-28 10:30:38,2.6,WESTERN TURKEY,28.1713,39.1765,10.2
20251028_0000322,2025-10-28 10:37:55,2.8,WESTERN TURKEY,28.2461,39.175,7.0
20251029_0000277,2025-10-29 11:49:01,3.6,ALBANIA,19.91,41.25,5.0
20251029_0000278,2025-10-29 11:42:54,2.5,WESTERN TURKEY,28.1397,39.1681,7.0
20251029_0000371,2025-10-29 15:33:52,3.3,CENTRAL TURKEY,36.0936,37.7272,7.0
20251006_0000367,2025-10-06 14:42:20,4.0,"HINDU KUSH REGION, AFGHANISTAN",70.8658,36.504,187.1
20251029_0000372,2025-10-29 15:36:47,2.6,"NIAS REGION, INDONESIA",97.91,1.13,10.0
20251029_0000373,2025-10-29 13:28:31,4.8,SOUTH SANDWICH ISLANDS REGION,-25.152,-58.709,10.0
20251029_0000371,2025-10-29 15:33:52,3.3,CENTRAL TURKEY,36.0728,37.7257,5.0
20251029_0000374,2025-10-29 15:14:19,1.6,WESTERN TURKEY,28.2433,39.1564,7.1
20251029_0000377,2025-10-29 15:43:58,3.4,"NEAR N COAST OF PAPUA, INDONESIA",140.51,-2.46,10.0
20251029_0000378,2025-10-29 15:52:37,2.1,WESTERN TURKEY,28.2182,39.1395,14.8
20251029_0000366,2025-10-29 14:04:42,4.5,"HINDU KUSH REGION, AFGHANISTAN",69.949,37.254,37.3
20251029_0000379,2025-10-29 15:51:26,2.3,WESTERN TURKEY,28.2342,39.1667,8.8
20251029_0000379,2025-10-29 15:51:26,2.3,WESTERN TURKEY,28.2342,39.1667,8.8
20250930_0000260,2025-09-30 16:31:44,3.0,"LEYTE, PHILIPPINES",124.0555,11.2615,10.0
20251029_0000378,2025-10-29 15:52:36,2.0,WESTERN TURKEY,28.225,39.1419,11.2
20251029_0000378,2025-10-29 15:52:37,2.0,WESTERN TURKEY,28.225,39.1419,11.2
20251029_0000381,2025-10-29 15:34:02,1.4,WESTERN TURKEY,28.2403,39.1442,13.0
20251029_0000381,2025-10-29 15:34:02,1.4,WESTERN TURKEY,28.2403,39.1442,13.0
20251011_0000383,2025-10-11 18:12:21,2.2,SOUTHERN TEXAS,-100.08,28.516,5.3
20251029_0000382,2025-10-29 15:51:58,3.0,MOLUCCA SEA,126.19,2.97,34.0
20251029_0000383,2025-10-29 15:59:11,1.7,WESTERN TURKEY,28.1769,39.2142,6.8
